MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
232037794,2024-01-01T00:02:05,25.78166,-80.15023,7.2,284.5,511,KUDU,IMO0000000,MJVY2,37,,0,0,,,B
235096399,2024-01-01T00:01:33,27.78969,-97.39082,10,123.4,511,ASSINIE,IMO0000000,2GDG3,37,,6,0,,,B
235096399,2024-01-01T00:02:32,27.78969,-97.39082,9,117.9,511,ASSINIE,IMO0000000,2GDG3,37,,6,0,,,B
235096399,2024-01-01T00:03:31,27.78969,-97.39082,3,112.1,511,ASSINIE,IMO0000000,2GDG3,37,,6,0,,,B
235096399,2024-01-01T00:06:03,27.78969,-97.39082,0.2,109.9,511,ASSINIE,IMO0000000,2GDG3,37,,6,0,,,B
248727000,2024-01-01T00:00:06,32.02417,-81.04617,0.1,137,328,AMORAZUR II,IMO8981664,9HB2042,37,0,45,9,2.7,37,A
248727000,2024-01-01T00:01:07,32.02417,-81.04617,0.1,136,328,AMORAZUR II,IMO8981664,9HB2042,37,0,45,9,2.7,37,A
248727000,2024-01-01T00:02:08,32.02417,-81.04617,0,94,328,AMORAZUR II,IMO8981664,9HB2042,37,0,45,9,2.7,37,A
248727000,2024-01-01T00:03:18,32.02417,-81.04617,0.1,212,328,AMORAZUR II,IMO8981664,9HB2042,37,0,45,9,2.7,37,A
248727000,2024-01-01T00:05:37,32.02417,-81.04617,0.1,151,328,AMORAZUR II,IMO8981664,9HB2042,37,0,45,9,2.7,37,A
305723000,2024-01-01T00:01:03,26.09262,-80.11391,6,51.8,65,PARADERO,IMO9368998,V2QV7,71,0,140,22,6.3,71,A
316001252,2024-01-01T00:00:05,48.68902,-123.40947,0,72.5,244,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60,0,96,21,3.7,60,A
316001252,2024-01-01T00:01:15,48.68902,-123.40947,0,241.2,243,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60,0,96,21,3.7,60,A
316001252,2024-01-01T00:02:24,48.68902,-123.40947,0,132.7,243,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60,0,96,21,3.7,60,A
316001252,2024-01-01T00:10:44,48.68902,-123.40947,0,122.4,243,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60,0,96,21,3.7,60,A
